Date,USD
3/4/2010,1440.9
3/5/2010,1430.28
3/8/2010,1427.52
3/9/2010,1427.52
3/10/2010,1425.94
3/11/2010,1423.91
3/12/2010,1420.99
3/15/2010,1420
3/16/2010,1420.07
3/17/2010,1418.79
3/18/2010,1416.92
3/19/2010,1415.53
3/22/2010,1412.32
3/23/2010,1405.3
3/24/2010,1389.93
3/25/2010,1375.61
3/26/2010,1372.97
3/29/2010,1370.43
3/30/2010,1369.43
3/31/2010,1367.1
4/1/2010,1365.47
4/2/2010,1364.69
4/5/2010,1364.98
4/6/2010,1365.02
4/7/2010,1365.26
4/8/2010,1367.36
4/9/2010,1372.3
4/12/2010,1382.91
4/13/2010,1384.72
4/14/2010,1385.47
4/15/2010,1392.05
4/16/2010,1401.47
4/19/2010,1410.46
4/20/2010,1408.81
4/21/2010,1406.32
4/22/2010,1400.55
4/23/2010,1395.98
4/26/2010,1383.33
4/27/2010,1379.9
4/28/2010,1375.31
4/29/2010,1373.24
4/30/2010,1372.46
5/3/2010,1377.35
5/4/2010,1384.13
5/5/2010,1390.59
5/6/2010,1394.06
5/7/2010,1395.07
5/10/2010,1387.65
5/11/2010,1386.65
5/12/2010,1385.85
5/13/2010,1384.21
5/14/2010,1383.62
5/17/2010,1384.6
5/18/2010,1386.64
5/19/2010,1389.54
5/20/2010,1392.36
5/21/2010,1390.86
5/24/2010,1389.65
5/25/2010,1386.95
5/26/2010,1385.98
5/27/2010,1385.81
5/28/2010,1385.56
5/31/2010,1384.85
6/2/2010,1383.73
6/3/2010,1383.4
6/4/2010,1383.57
6/7/2010,1384.11
6/8/2010,1384.34
6/9/2010,1385.09
6/10/2010,1385.38
6/11/2010,1385.13
6/14/2010,1383.25
6/15/2010,1380.8
6/16/2010,1380.83
6/17/2010,1380.68
6/18/2010,1380.77
6/21/2010,1380.31
6/22/2010,1380.05
6/23/2010,1379.38
6/24/2010,1378.27
6/25/2010,1375.87
6/28/2010,1372.07
6/29/2010,1371.25
6/30/2010,1368.65
7/1/2010,1367.27
7/2/2010,1365.88
7/5/2010,1366.06
7/6/2010,1366.15
7/7/2010,1367.2
7/8/2010,1368.47
7/9/2010,1369.82
7/14/2010,1369.38
7/15/2010,1369.03
7/16/2010,1366.86
7/19/2010,1366.98
7/20/2010,1367.02
7/21/2010,1366.8
7/22/2010,1366.75
7/23/2010,1366.64
7/26/2010,1365.04
7/27/2010,1362.51
7/28/2010,1360.25
7/29/2010,1358.18
7/30/2010,1356.29
8/2/2010,1353.49
8/3/2010,1352.27
8/4/2010,1349.94
8/5/2010,1347.82
8/6/2010,1345.97
8/9/2010,1343.2
8/10/2010,1341.07
8/11/2010,1338.19
8/12/2010,1333.59
8/13/2010,1327.1
8/16/2010,1324.71
8/17/2010,1321.65
8/18/2010,1318.42
8/19/2010,1316.05
8/20/2010,1312.68
8/23/2010,1309.34
8/24/2010,1307.36
8/25/2010,1305.45
8/26/2010,1302.87
8/27/2010,1299.69
8/30/2010,1300.1
8/31/2010,1301.8
9/1/2010,1304.56
9/2/2010,1308.98
9/3/2010,1318.81
9/6/2010,1327.58
9/7/2010,1323.35
9/8/2010,1320.98
9/9/2010,1319.59
9/10/2010,1319.86
9/13/2010,1323.3
9/14/2010,1326.14
